"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
746,4.45863930508494377E-04,4.48806245694868258E-04,4.67441044747829437E-04,3.50518198683857918E-03,3.54414173518307436E-03,3.58162994962185621E-03,3.79945803433656693E-03,3.83928667521104237E-03,3.88377206400036812E-03
747,4.45546000264585018E-04,4.48536923504434413E-04,4.87464945763349533E-04,3.57252394314855337E-03,3.61506159999407843E-03,3.65507195238023996E-03,3.86848696507513523E-03,3.91056871158070897E-03,3.94250592216849327E-03
748,4.46016085334122181E-04,4.48353778338059662E-04,4.70650033093988895E-04,3.47835093270987272E-03,3.53585824603214844E-03,3.56383796315640211E-03,3.78322403412312269E-03,3.83173920214176190E-03,3.87621007394045591E-03
749,4.47781058028340340E-04,4.51150981825776539E-04,4.90321079269051552E-04,3.55876295361667871E-03,3.60435277340002318E-03,3.64359898958355188E-03,3.85509803891181946E-03,3.90629750210791642E-03,3.96286603063344955E-03
750,4.48261969722807407E-04,4.50682832743041291E-04,4.67893085442483425E-04,3.48519696854054928E-03,3.53449362562969355E-03,3.57314490247517824E-03,3.78838507458567619E-03,3.82137649692595050E-03,3.86174896266311407E-03
751,4.50719962827861309E-04,4.53722424572333715E-04,4.73315943963825703E-04,3.55527794454246759E-03,3.59433934092521752E-03,3.62991192378103733E-03,3.85818502400070429E-03,3.90702668111771352E-03,3.94330092240124941E-03
752,4.51348023489117622E-04,4.53671119757928076E-04,4.72077052108943462E-04,3.30826709978282452E-03,3.35090153384953781E-03,3.39190999511629343E-03,3.68173304013907909E-03,3.71719075134024218E-03,3.74983204528689384E-03
753,4.54991939477622509E-04,4.57539911731146389E-04,4.78941947221755981E-04,3.62454296555370092E-03,3.67628798587247858E-03,3.70747502893209457E-03,3.96468199323862791E-03,3.99834244744852289E-03,4.02998598292469978E-03
754,4.55481000244617462E-04,4.58146400051191488E-04,4.74390923045575619E-04,3.54032206814736128E-03,3.57828237581998181E-03,3.61149699892848730E-03,3.86877206619828939E-03,3.90648209257051481E-03,3.95891303196549416E-03
755,4.54052002169191837E-04,4.56617175950668731E-04,4.89687081426382065E-04,3.61635501030832529E-03,3.67604994564317208E-03,3.71385796461254358E-03,3.94857802893966436E-03,3.99546042084693818E-03,4.04942303430289030E-03
756,4.54656081274151802E-04,4.57124129170551909E-04,4.74278000183403492E-04,3.52338107768446207E-03,3.57152045937254988E-03,3.60477808862924576E-03,3.83658602368086576E-03,3.90455187531188117E-03,3.94289405085146427E-03
757,4.56243986263871193E-04,4.59002284333109812E-04,4.75445995107293129E-04,3.60050494782626629E-03,3.67326913983561081E-03,3.70557303540408611E-03,3.93540505319833755E-03,3.98717516101896718E-03,4.03566390741616488E-03
758,4.56862035207450390E-04,4.60560976644046609E-04,5.37988962605595589E-04,3.51984694134443998E-03,3.57456122990697581E-03,3.64171608816832304E-03,3.87307896744459867E-03,3.90551420161500736E-03,3.93216195516288280E-03
759,4.58577997051179409E-04,4.61407962720841193E-04,4.82889008708298206E-04,3.60269693192094564E-03,3.67127159843221333E-03,3.70156206190586090E-03,3.91656090505421162E-03,3.97427323856390860E-03,4.02153993491083384E-03
760,4.58961003459990025E-04,4.62033156654797464E-04,4.78873960673809052E-04,3.51392198354005814E-03,3.56791764614172247E-03,3.60330205876380205E-03,3.86486900970339775E-03,3.90048631699755613E-03,3.93384497147053480E-03
761,4.62618074379861355E-04,4.65373687911778530E-04,4.80844988487660885E-04,3.61855805385857821E-03,3.68552984087728089E-03,3.71397298295050859E-03,3.92310798633843660E-03,3.97814382682554549E-03,4.02806699275970459E-03
762,4.63129952549934387E-04,4.65983576141297865E-04,4.90244012326002121E-04,3.53817897848784924E-03,3.58977458672598030E-03,3.62067401874810457E-03,3.86968499515205622E-03,3.92199812456965526E-03,3.96930100396275520E-03
