"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
95,1.94190070033073425E-05,2.10466881981119500E-05,3.32649797201156616E-05,1.69250601902604103E-03,1.69773962348699573E-03,1.71286601107567549E-03,1.71935895923525095E-03,1.72352102585136857E-03,1.75493699498474598E-03
96,1.93759333342313766E-05,2.10296316072344750E-05,2.49700387939810753E-05,1.71110208611935377E-03,1.74424297874793363E-03,3.64939903374761343E-03,1.73739402089267969E-03,1.74183768918737838E-03,1.75960198976099491E-03
97,2.03519593924283981E-05,2.19275645213201610E-05,3.49499750882387161E-05,1.73676095437258482E-03,1.74339099205099044E-03,1.78686599247157574E-03,1.75627903081476688E-03,1.76376089337281871E-03,1.82940892409533262E-03
98,2.02510273084044456E-05,2.18042242340743525E-05,2.62040412053465843E-05,1.75473408307880163E-03,1.76084976177662582E-03,1.78763805888593197E-03,1.77526904735714197E-03,1.78173967520706372E-03,1.81064801290631294E-03
99,2.04259995371103287E-05,2.20263923984021004E-05,3.45440348610281944E-05,1.77202501799911261E-03,1.77860428462736295E-03,1.80594401899725199E-03,1.79571099579334259E-03,1.80200982606038462E-03,1.83262501377612352E-03
100,2.04941025003790855E-05,2.19895766349509386E-05,3.19420360028743744E-05,1.78905401844531298E-03,1.79429032257758078E-03,1.82178197428584099E-03,1.81524397339671850E-03,1.81961848982609815E-03,1.85567198786884546E-03
101,2.07650009542703629E-05,2.23022629506886051E-05,5.99849736317992210E-05,1.80688698310405016E-03,1.81230296962894507E-03,1.82893907185643911E-03,1.83393701445311308E-03,1.83950362261384778E-03,1.86502700671553612E-03
102,2.07149423658847809E-05,2.22881097579374874E-05,3.20969847962260246E-05,1.82433205191046000E-03,1.83089933590963538E-03,1.86536298133432865E-03,1.85289897490292788E-03,1.85897519579157253E-03,1.88661494757980108E-03
103,2.11650040000677109E-05,2.27814062964171147E-05,5.72690041735768318E-05,1.84190401341766119E-03,1.84902663109824065E-03,1.95566797628998756E-03,1.87282206024974585E-03,1.88137299846857721E-03,1.94193201605230570E-03
104,2.10580183193087578E-05,2.26248498074710381E-05,3.15689248964190483E-05,1.85959204100072384E-03,1.86523473239503883E-03,1.89677195157855749E-03,1.89210404641926289E-03,1.89725535339675851E-03,1.92698102910071611E-03
